c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
show,driver.c,8,"(label: const char *, v: char *) -> void",show,show,CLAIMED,yes,,show,show,0.436,0.125,show,unanimous,show,"DRIVER function (ours, not a library function). driver.c:8-11 show(label, v): printf(""%s: %s\n"", label, v ? v : ""(null)"") then free(v) -> assembled_idiomatic.rs:27-35 show(label: &str, v: Option<String>): nested print_line prints `{label}: {text}` or `{label}: (null)` on None; the free is elided because the owned Option<String> is dropped at return. Nested show::print_line is not a separate inventory entry (analyzer lists 7 top-level fns). Tool map, name-eq and forced/deploy matcher all say show: correct."
main,driver.c,13,"(argc: int, argv: char **) -> int",,,NO_RECORD,,,,strff,0.223,-0.103,ABSTAIN,single-source,NONE,"DRIVER function (ours). driver.c:13-34. Never attempted: unidiomatic_failure_info.json status blocked_by_failed_dependency (url_is_protocol failed 5x on URL_SCHEMES E0277, RUN.md 'Completion state'); no main.rs in translated_code_unidiomatic/ or translated_code_idiomatic/. Forced matcher proposal strff is WRONG: main parses argv and prints ~12 lines via url_* calls; Rust strff (assembled_idiomatic.rs:46) copies the byte-suffix of a string after n bytes and prints nothing."
get_part,,,"(url: char *, format: const char *, l: int) -> char *",,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:188-224 get_part(url, format, l): strdup twice, strff by l, sscanf(format) into tmp, compare, strrwd back, return copy-or-NULL. SACTOR produced only a unidiomatic get_part (translated_code_unidiomatic/functions/get_part.rs, libc malloc/sscanf/strcmp, faithful) but the idiomatic phase never reached it (idiomatic_failure_info.json has no get_part entry; run ended with RuntimeError Dependency 'url_is_protocol' ... should have been translated, batch_summary.json status failed, RUN.md). The scored artifact is the idiomatic phase only, so no Rust counterpart exists in assembled_idiomatic.rs. Matcher deploy NONE, no forced proposal: consistent."
strdup,,,(str: const char *) -> char *,strdup,strdup,CLAIMED,yes,,strdup,,,,NONE,single-source,strdup,"url.h:158-164 strdup(str): malloc(strlen+1) + strcpy -> assembled_idiomatic.rs:38-43 top-level strdup(input: &str) -> String delegating to nested inner: src.to_owned() (same copy-the-whole-string behaviour; NULL-on-malloc-failure elided). The nested helper `fn strdup` inside strff (assembled_idiomatic.rs:47-49) is a shadowing local copy, not the top-level strdup; the analyzer inventory lists neither strff::strdup nor strdup::inner, so there is no duplicate-leaf / AMBIGUOUS issue. Tool map and name-eq say strdup: correct. The matcher gave this row no forced proposal (it spent strdup on url_data_inspect instead, see that row)."
strff,,,"(ptr: char *, n: int) -> char *",strff,strff,CLAIMED,yes,,strff,strrwd,0.142,-0.109,ABSTAIN,CONFLICT,strff,"url.h:168-176 strff(ptr, n): advances ptr n times (y = *ptr++), returns strdup(ptr) = copy of the suffix starting n bytes in -> assembled_idiomatic.rs:46-54 strff(input: &str, n: usize): start = n.min(len), suffix = from_utf8(&bytes[start..]), returns nested strdup(suffix) = owned copy of the suffix after n bytes. Same computation (Rust clamps n to len where C would read past the end). Forced matcher proposal strrwd is WRONG: C strrwd walks backwards (ptr--) and Rust strrwd (assembled_idiomatic.rs:57) takes the LAST n bytes via byte_suffix_from_end, i.e. the opposite direction; strff and strrwd are distinct functions with distinct Rust bodies. Tool map and name-eq say strff: correct."
strrwd,,,"(ptr: char *, n: int) -> char *",strrwd,strrwd,CLAIMED,yes,,strrwd,,,,NONE,single-source,strrwd,"url.h:178-186 strrwd(ptr, n): decrements ptr n times (y = *ptr--), returns strdup(ptr) = copy starting n bytes BEFORE ptr (only meaningful after a matching strff) -> assembled_idiomatic.rs:57-71 strrwd(ptr: &str, n: usize): nested byte_suffix_from_end returns &s[len-n..] ('' if n >= len), then top-level strdup(slice). This is SACTOR's one-to-one rendition of strrwd (same name, same two parameters, only Rust fn that calls strdup on a rewind-style slice; unidiomatic strrwd.rs is the literal ptr.offset(-1) loop), so the correspondence is strrwd. Behavioural caveat (RQ4, not RQ1): rewinding before the start of a &str is inexpressible, so the idiomatic body returns the last n bytes instead of the n-bytes-earlier string, e.g. C strrwd(""world"" [inside ""hello world""], 6) -> ""hello world"" vs Rust -> """" (n >= len). It is a divergent translation, not a stub (body is a real computation). Every C caller discards the returned content (get_part/url_get_search/url_get_hash free or overwrite it), so SACTOR's 6-sample check could not see this. Tool map and name-eq say strrwd: correct; matcher gave this row no forced proposal (it spent strrwd on strff)."
url_data_inspect,,,(data: url_data_t *) -> void,url_data_inspect,url_data_inspect,CLAIMED,yes,,url_data_inspect,strdup,0.365,0.199,strdup,CONFLICT,url_data_inspect,"url.h:533-547 url_data_inspect(data): printf(""#url =>\n"") then 11 lines `    .field: ""value""` for href, protocol, host, auth, hostname, pathname, search, path, hash, query, port -> assembled_idiomatic.rs:74-90 url_data_inspect(data: &UrlData): println!(""#url =>"") then nested print_field(""{label}"", value) for the same 11 fields in the same order with the same `    .name: ""value""` format. Tool map and name-eq say url_data_inspect: correct. Forced AND deploy matcher proposal strdup is WRONG: strdup (assembled_idiomatic.rs:38) copies one &str and returns a String, prints nothing, touches no struct; url_data_inspect prints 12 lines and returns ()."
url_free,,,(data: url_data_t *) -> void,url_free,url_free,CLAIMED,yes,,url_free,url_data_inspect,0.172,-0.106,ABSTAIN,CONFLICT,url_free,"url.h:549-561 url_free(data): if (!data) return; then free() each non-NULL of 9 owned fields (auth, protocol, hostname, host, pathname, path, hash, search, query; href is the caller's argv and port is leaked) -> assembled_idiomatic.rs:93 `pub fn url_free(_data: Option<UrlData>) {}`. The body is empty but this is NOT a STUB: the parameter is taken BY VALUE as Option<UrlData> (Option mirrors the NULL check), so every owned String field of UrlData (assembled_idiomatic.rs:12-24) is dropped when the function returns; deallocation is performed by drop glue, which is the faithful idiomatic form of a field-by-field free (it even frees port, which C leaks). A stub would be `fn url_free(_data: &UrlData) {}` or any signature that does not take ownership. SACTOR's own unidiomatic url_free.rs is the literal 9x free_if_not_null loop, and the idiomatic phase collapsed it to ownership transfer. Tool map and name-eq say url_free: correct. Forced matcher proposal url_data_inspect is WRONG: url_data_inspect borrows &UrlData and prints 12 lines; url_free consumes the value and prints nothing."
url_get_auth,,,(url: char *) -> char *,,,NO_RECORD,,,,url_free,0.055,-0.256,ABSTAIN,single-source,NONE,"url.h:361-367 url_get_auth(url): url_get_protocol -> get_part(url, ""%[^@]"", strlen(protocol)+3). Never attempted: unidiomatic_failure_info.json status blocked_by_failed_dependency (depends on url_get_protocol -> url_is_protocol, which failed 5x on URL_SCHEMES E0277; RUN.md); no url_get_auth.rs in either phase. Forced matcher proposal url_free is WRONG: url_get_auth returns the user-info substring of a URL as a new string; Rust url_free (assembled_idiomatic.rs:93) consumes a UrlData and returns (); no Rust url_get_auth exists."
url_get_hash,,,(url: char *) -> char *,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:485-510 url_get_hash(url): path/pathname/search -> strff(path, pathname_len+search_len) -> sscanf(""%s"", hash). Never attempted (dependency url_is_protocol failed): unidiomatic_failure_info.json status blocked_by_failed_dependency (RUN.md); no url_get_hash.rs in either phase. Matcher deploy NONE, no forced proposal: consistent."
url_get_host,,,(url: char *) -> char *,,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"url.h:391-403 url_get_host(url): url_get_hostname -> sscanf(hostname, ""%[^:]"", host). Never attempted (dependency url_is_protocol failed): unidiomatic_failure_info.json status blocked_by_failed_dependency (RUN.md); no url_get_host.rs in either phase. Matcher deploy NONE, no forced proposal: consistent."
