c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
fallbackSimpleSort,blocksort.c,32,"(fmap: UInt32 *, eclass: UInt32 *, lo: Int32, hi: Int32) -> void",,,NO_MAP,,,fallbackSimpleSort,fallbackSimpleSort,0.159,-0.105,ABSTAIN,single-source,fallbackSimpleSort,"blocksort.c:32-59 fallbackSimpleSort(fmap, eclass, lo, hi): early return on lo==hi, a stride-4 insertion pass when hi-lo>3 (C :42-50) then a stride-1 insertion pass (C :52-58), both keyed on eclass[fmap[j]] -> assembled_unidiomatic.rs:27-63 reproduces both passes with the same bounds, strides and the `ec_tmp > eclass[fmap[j]]` guard. Genuine. Verified file (run2_result/blocksort.c__e857d15e/translated_code_unidiomatic/functions/fallbackSimpleSort.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq fallbackSimpleSort: correct. Forced matcher fallbackSimpleSort (score 0.159, conf -0.105): correct. Deploy matcher ABSTAIN: coverage loss only."
fallbackQSort3,blocksort.c,93,"(fmap: UInt32 *, eclass: UInt32 *, loSt: Int32, hiSt: Int32) -> void",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"blocksort.c:93-180 fallbackQSort3(fmap, eclass, loSt, hiSt): explicit-stack ternary quicksort on eclass keys, falling back to fallbackSimpleSort for small ranges (uses AssertH). Never attempted: blocksort.c (unit 4 of 9 in SACTOR's dependency order, run2.log:38 `Function order`): SACTOR stopped the blocksort.c TU at unit 4 (fallbackQSort3) when its cross-TU dependency check rejected the callee BZ2_bz__AssertH__fail (run2.log:1334 `Dependency 'BZ2_bz__AssertH__fail' of type 'function' should have been translated before use`; batch_summary.json blocksort.c failed) -- blocksort.c was translated before bzlib.c in this batch, so the assertion helper did not exist yet. No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
fallbackSort,blocksort.c,212,"(fmap: UInt32 *, eclass: UInt32 *, bhtab: UInt32 *, nblock: Int32, verb: Int32) -> void",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"blocksort.c:212-329 fallbackSort(fmap, eclass, bhtab, nblock, verb): the fallback (Sadakane-style) block sort over bucket-bit table bhtab, calling fallbackQSort3. Never attempted: blocksort.c (unit 6 of 9 in SACTOR's dependency order, run2.log:38 `Function order`): SACTOR stopped the blocksort.c TU at unit 4 (fallbackQSort3) when its cross-TU dependency check rejected the callee BZ2_bz__AssertH__fail (run2.log:1334 `Dependency 'BZ2_bz__AssertH__fail' of type 'function' should have been translated before use`; batch_summary.json blocksort.c failed) -- blocksort.c was translated before bzlib.c in this batch, so the assertion helper did not exist yet. No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
mainGtU,blocksort.c,347,"(i1: UInt32, i2: UInt32, block: UChar *, quadrant: UInt16 *, nblock: UInt32, budget: Int32 *) -> Bool",,,NO_MAP,,,mainGtU,mainGtU,0.253,-0.0,ABSTAIN,single-source,mainGtU,"blocksort.c:347-469 mainGtU(i1, i2, block, quadrant, nblock, budget): 12 unrolled byte comparisons (C /* 1 */../* 12 */ :360-407), then a do-while over 8 byte+quadrant comparisons per iteration with wrap-around on nblock, k -= 8, (*budget)--, until k < 0 (C :409-466), return False -> assembled_unidiomatic.rs:81-163 the 12 byte comparisons, rs:165-274 the 8-way loop with `k = nblock + 8`, wrap-around (rs:263-268), `k -= 8; *budget -= 1; if k < 0 break`, `false`. Only the debug-only AssertD (C :358, compiled out) is dropped. Genuine. Verified file (run2_result/blocksort.c__e857d15e/translated_code_unidiomatic/functions/mainGtU.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq mainGtU: correct. Forced matcher mainGtU (score 0.253, conf -0.0): correct. Deploy matcher ABSTAIN: coverage loss only."
mainSimpleSort,blocksort.c,485,"(ptr: UInt32 *, block: UChar *, quadrant: UInt16 *, nblock: Int32, lo: Int32, hi: Int32, d: Int32, budget: Int32 *) -> void",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"blocksort.c:485-555 mainSimpleSort(ptr, block, quadrant, nblock, lo, hi, d, budget): shell sort with increments 1,4,13,... comparing suffixes via mainGtU. Never attempted: blocksort.c (unit 5 of 9 in SACTOR's dependency order, run2.log:38 `Function order`): SACTOR stopped the blocksort.c TU at unit 4 (fallbackQSort3) when its cross-TU dependency check rejected the callee BZ2_bz__AssertH__fail (run2.log:1334 `Dependency 'BZ2_bz__AssertH__fail' of type 'function' should have been translated before use`; batch_summary.json blocksort.c failed) -- blocksort.c was translated before bzlib.c in this batch, so the assertion helper did not exist yet. No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
mmed3,blocksort.c,583,"(a: UChar, b: UChar, c: UChar) -> UChar",,,NO_MAP,,,mmed3,mmed3,0.155,-0.117,ABSTAIN,single-source,mmed3,"blocksort.c:583-592 mmed3(a, b, c): median of three by two swaps -> assembled_unidiomatic.rs:283-294 identical swap sequence. Genuine. Verified file (run2_result/blocksort.c__e857d15e/translated_code_unidiomatic/functions/mmed3.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq mmed3: correct. Forced matcher mmed3 (score 0.155, conf -0.117): correct. Deploy matcher ABSTAIN: coverage loss only."
mainQSort3,blocksort.c,621,"(ptr: UInt32 *, block: UChar *, quadrant: UInt16 *, nblock: Int32, loSt: Int32, hiSt: Int32, dSt: Int32, budget: Int32 *) -> void",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"blocksort.c:621-717 mainQSort3(ptr, block, quadrant, nblock, loSt, hiSt, dSt, budget): explicit-stack median-of-three ternary quicksort on suffixes, delegating to mainSimpleSort. Never attempted: blocksort.c (unit 7 of 9 in SACTOR's dependency order, run2.log:38 `Function order`): SACTOR stopped the blocksort.c TU at unit 4 (fallbackQSort3) when its cross-TU dependency check rejected the callee BZ2_bz__AssertH__fail (run2.log:1334 `Dependency 'BZ2_bz__AssertH__fail' of type 'function' should have been translated before use`; batch_summary.json blocksort.c failed) -- blocksort.c was translated before bzlib.c in this batch, so the assertion helper did not exist yet. No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
mainSort,blocksort.c,751,"(ptr: UInt32 *, block: UChar *, quadrant: UInt16 *, ftab: UInt32 *, nblock: Int32, verb: Int32, budget: Int32 *) -> void",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"blocksort.c:751-1011 mainSort(ptr, block, quadrant, ftab, nblock, verb, budget): the main two-byte-bucket radix + quicksort block sort with the copy-column trick. Never attempted: blocksort.c (unit 8 of 9 in SACTOR's dependency order, run2.log:38 `Function order`): SACTOR stopped the blocksort.c TU at unit 4 (fallbackQSort3) when its cross-TU dependency check rejected the callee BZ2_bz__AssertH__fail (run2.log:1334 `Dependency 'BZ2_bz__AssertH__fail' of type 'function' should have been translated before use`; batch_summary.json blocksort.c failed) -- blocksort.c was translated before bzlib.c in this batch, so the assertion helper did not exist yet. No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
BZ2_blockSort,blocksort.c,1031,(s: EState *) -> void,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"blocksort.c:1031-1089 BZ2_blockSort(s): entry point choosing mainSort with a work budget and falling back to fallbackSort, then locating origPtr (AssertH 1003). Never attempted: blocksort.c (unit 9 of 9 in SACTOR's dependency order, run2.log:38 `Function order`): SACTOR stopped the blocksort.c TU at unit 4 (fallbackQSort3) when its cross-TU dependency check rejected the callee BZ2_bz__AssertH__fail (run2.log:1334 `Dependency 'BZ2_bz__AssertH__fail' of type 'function' should have been translated before use`; batch_summary.json blocksort.c failed) -- blocksort.c was translated before bzlib.c in this batch, so the assertion helper did not exist yet. No LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run2_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
BZ2_bz__AssertH__fail,bzlib.c,41,(errcode: int) -> void,,,NO_MAP,,,BZ2_bz__AssertH__fail,BZ2_bz__AssertH__fail,0.418,0.21,BZ2_bz__AssertH__fail,single-source,BZ2_bz__AssertH__fail,"bzlib.c:41-85 BZ2_bz__AssertH__fail(errcode): fprintf(stderr) of the internal-error report with errcode and BZ2_bzlibVersion(), an extra 1007 memory-fault note when errcode == 1007, exit(3) -> assembled_unidiomatic.rs:1476-1517 same two fprintf calls (message texts reproduced verbatim, rs:1478-1485 and 1492-1514), same `== 1007` branch, `libc::exit(3)`. Genuine. Verified file (run2_result/bzlib.c__c5155842/translated_code_unidiomatic/functions/BZ2_bz__AssertH__fail.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 driver samples passed). Name-eq BZ2_bz__AssertH__fail: correct. Forced matcher BZ2_bz__AssertH__fail (score 0.418, conf 0.21): correct. Deploy matcher BZ2_bz__AssertH__fail: correct."
