c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
fallbackSimpleSort,blocksort.c,32,"(fmap: UInt32 *, eclass: UInt32 *, lo: Int32, hi: Int32) -> void",fallback_simple_sort,fallback_simple_sort,CLAIMED,yes,No_Fix_Compile_Success,,fallback_simple_sort,0.148,-0.137,ABSTAIN,single-source,fallback_simple_sort,"IMPL: C blocksort.c:32 -> Rust src/blocksort.rs:46. Body matches: early `if lo == hi return`, `if hi - lo > 3` stride-4 insertion pass (`i = hi-4 .. lo`, `j += 4`, `fmap[j-4] = fmap[j]`, `fmap[j-4] = tmp`), then stride-1 pass; comparisons `ec_tmp > eclass[fmap[j]]`. Rust adds bounds guards and uses i32 slices (type drift from UInt32) but is unmistakably this function. Only candidate (tool_claim); confirmed."
fallbackQSort3,blocksort.c,93,"(fmap: UInt32 *, eclass: UInt32 *, loSt: Int32, hiSt: Int32) -> void",fallback_q_sort3,fallback_q_sort3,CLAIMED,yes,Fixed_5_Compile_Failed,,,,,NONE,single-source,STUB:fallback_q_sort3,"STUB: C blocksort.c:93 -> Rust src/blocksort.rs:384. Rust body is `// Default / placeholder implementation` (empty). Signature matches C exactly (fmap, eclass, lo_st, hi_st). No other Rust fn contains the fallback-qsort body (searched for FALLBACK_QSORT/stackLo/fpush/med-of-3 logic on eclass: nothing). tool_claim candidate accepted as the declared slot."
fallbackSort,blocksort.c,212,"(fmap: UInt32 *, eclass: UInt32 *, bhtab: UInt32 *, nblock: Int32, verb: Int32) -> void",fallback_sort,fallback_sort,CLAIMED,yes,Fixed_5_Compile_Failed,,fallback_sort,0.171,-0.232,ABSTAIN,single-source,STUB:fallback_sort,"STUB: C blocksort.c:212 -> Rust src/blocksort.rs:408. Empty placeholder body; signature (fmap, eclass, bhtab, nblock, verb) matches C. Searched crate for bhtab/SET_BH/ftab bucket logic: nothing else. tool_claim accepted as declared slot."
mainGtU,blocksort.c,347,"(i1: UInt32, i2: UInt32, block: UChar *, quadrant: UInt16 *, nblock: UInt32, budget: Int32 *) -> Bool",main_gt_u,main_gt_u,CLAIMED,yes,Fixed_1_Compile_Success,,main_gt_u,0.214,0.033,main_gt_u,single-source,main_gt_u,"IMPL: C blocksort.c:347 -> Rust src/blocksort.rs:184. Body matches: sequence of `c1 = block[i1]; c2 = block[i2]; if c1 != c2 return c1 > c2; i1++; i2++`, then `k = nblock + 8` do-loop that also compares quadrant[] (s1/s2), wraps `if i1 >= nblock i1 -= nblock`, `k -= 8`, `(*budget)--`, returns False. Fidelity defect (not a matching issue): Rust unrolls only 10 pre-loop steps (C: 12) and 7 in-loop steps (C: 8); AssertD dropped; returns u8 0/1. Only candidate (tool_claim); confirmed."
mainSimpleSort,blocksort.c,485,"(ptr: UInt32 *, block: UChar *, quadrant: UInt16 *, nblock: Int32, lo: Int32, hi: Int32, d: Int32, budget: Int32 *) -> void",main_simple_sort,main_simple_sort,CLAIMED,yes,Fixed_5_Compile_Failed,,main_q_sort3,0.146,-0.251,ABSTAIN,CONFLICT,STUB:main_simple_sort,"STUB: C blocksort.c:485 -> Rust src/blocksort.rs:396. Body is `// Default/no-op stub implementation`; doc comment quotes the C signature `static void mainSimpleSort ( UInt32* ptr, ... Int32 lo, Int32 hi, Int32 d, Int32* budget )`; params (ptr, block, quadrant, nblock, lo, hi, d, budget) match. Rejected matcher_forced=main_q_sort3 [blocksort.rs:421]: that stub's doc comment names mainQSort3 and its params are lo_st/hi_st/d_st. No Rust fn contains the INCS/shell-sort body (INCS static exists at blocksort.rs:14 but is unused)."
mmed3,blocksort.c,583,"(a: UChar, b: UChar, c: UChar) -> UChar",mmed3,mmed3,CLAIMED,yes,No_Fix_Compile_Success,mmed3,mmed3,0.383,0.132,mmed3,unanimous,mmed3,IMPL: C blocksort.c:583 -> Rust src/blocksort.rs:30. Exact body: `if a > b swap; if b > c { b = c; if a > b b = a }; return b`. same_name confirmed by body.
mainQSort3,blocksort.c,621,"(ptr: UInt32 *, block: UChar *, quadrant: UInt16 *, nblock: Int32, loSt: Int32, hiSt: Int32, dSt: Int32, budget: Int32 *) -> void",main_q_sort3,main_q_sort3,CLAIMED,yes,Fixed_5_Compile_Failed,,main_simple_sort,0.145,-0.251,ABSTAIN,CONFLICT,STUB:main_q_sort3,"STUB: C blocksort.c:621 -> Rust src/blocksort.rs:421. Body is no-op; doc comment quotes `static void mainQSort3 ( ... Int32 loSt, Int32 hiSt, Int32 dSt, Int32* budget )`; params match. Rejected matcher_forced=main_simple_sort [blocksort.rs:396]: doc names mainSimpleSort, params lo/hi/d. Searched for MAIN_QSORT_SMALL_THRESH/mmed3 callers/stackD: none (mmed3 is defined but never called)."
mainSort,blocksort.c,751,"(ptr: UInt32 *, block: UChar *, quadrant: UInt16 *, ftab: UInt32 *, nblock: Int32, verb: Int32, budget: Int32 *) -> void",main_sort,main_sort,CLAIMED,yes,Fixed_5_Compile_Failed,,BZ2_bzBuffToBuffCompress,0.175,-0.232,ABSTAIN,CONFLICT,STUB:main_sort,"STUB: C blocksort.c:751 -> Rust src/blocksort.rs:436. Body is no-op; doc comment quotes `static void mainSort ( UInt32* ptr, UChar* block, UInt16* quadrant, UInt32* ftab, Int32 nblock, Int32 verb, Int32* budget )`; 7 params match. Rejected matcher_forced=BZ2_bzBuffToBuffCompress [bzlib.rs:431]: unrelated stub (dest/dest_len/source/... params, returns i32). Searched for ftab/copyStart/copyEnd/bigDone/runningOrder: nothing."
BZ2_blockSort,blocksort.c,1031,(s: EState *) -> void,BZ2_blockSort,BZ2_blockSort,CLAIMED,yes,Fixed_5_Compile_Failed,BZ2_blockSort,,,,NONE,single-source,STUB:BZ2_blockSort,STUB: C blocksort.c:1031 -> Rust src/blocksort.rs:451. Body is `// Default stub: no-op`; doc says `Stub for translated BZ2_blockSort from C`; param `s: Option<&mut EState>` matches. Searched for 'wfact'/'budgetInit'/'origPtr'/fallback_sort or main_sort call sites: none. same_name accepted as declared slot.
BZ2_bz__AssertH__fail,bzlib.c,41,(errcode: int) -> void,BZ2_bz__AssertH__fail,BZ2_bz__AssertH__fail,CLAIMED,yes,No_Fix_Compile_Success,BZ2_bz__AssertH__fail,BZ2_bz__AssertH__fail,0.476,0.206,BZ2_bz__AssertH__fail,unanimous,BZ2_bz__AssertH__fail,"IMPL: C bzlib.c:41 -> Rust src/bzlib.rs:95. Verbatim message strings ('bzip2/libbzip2: internal error number', 'bzip2-devel@sourceware.org', 'A special note about internal error number 1007', 'Memtest86'), `if errcode == 1007` branch, calls BZ2_bzlibVersion(), `process::exit(3)` = `exit(3)`. same_name confirmed."
