c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
ti_ad_start,ad.c,28,(options: const double *) -> int,,,NO_MAP,,,ti_ad_start,ti_emv_start,0.559,-0.105,ABSTAIN,CONFLICT,ti_ad_start,"C ad.c:28 `(void)options; return 0` -> Rust assembled_unidiomatic.rs:9 `0`: genuine translation, same computation (not a STUB: the C body itself ignores options and returns this constant, so the constant IS the C behaviour). Tool verdict: unverified, TU aborted at harness link failure (run1_extracted_rust/index.json). Name-eq says ti_ad_start: correct. Forced matcher proposal ti_emv_start is WRONG (SACTOR's translation of C ti_emv_start from emv.c, assembled_unidiomatic.rs:127); the C function's own translation is ti_ad_start at assembled_unidiomatic.rs:9. Bodies differ: C ti_ad_start = `0`, C ti_emv_start = `1`."
ti_ad,ad.c,34,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,ti_vosc_start,0.284,-0.137,ABSTAIN,single-source,NONE,"ad.c:34. Not emitted: the ad.c TU translated only its first function ti_ad_start (assembled_unidiomatic.rs:9) and then aborted at ""Failed to link project-level harness for function ti_ad_start"" (RUN.md); ti_ad never reached the LLM. Absent from rust_inventory.csv. Forced matcher proposal ti_vosc_start is wrong by construction (SACTOR's translation of C ti_vosc_start from vosc.c, assembled_unidiomatic.rs:355); no Rust ti_ad exists and ti_ad is not a one-line start-offset function."
ti_adosc_start,adosc.c,28,(options: const double *) -> int,,,NO_MAP,,,ti_adosc_start,ti_md_start,0.167,-0.254,ABSTAIN,CONFLICT,ti_adosc_start,"C adosc.c:28 `return (int)(options[1])-1` -> Rust assembled_unidiomatic.rs:14 `(*options.add(1)) as c_int - 1`: genuine translation, same computation. Tool verdict: unverified, TU aborted at harness link failure (run1_extracted_rust/index.json). Name-eq says ti_adosc_start: correct. Forced matcher proposal ti_md_start is WRONG (SACTOR's translation of C ti_md_start from md.c, assembled_unidiomatic.rs:184); the C function's own translation is ti_adosc_start at assembled_unidiomatic.rs:14. Bodies differ: C ti_adosc_start = `(int)(options[1])-1`, C ti_md_start = `(int)options[0]-1`."
ti_adosc,adosc.c,33,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"adosc.c:33. Not emitted: the adosc.c TU translated only its first function ti_adosc_start (assembled_unidiomatic.rs:14) and then aborted at ""Failed to link project-level harness for function ti_adosc_start"" (RUN.md); ti_adosc never reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_adx_start,adx.c,28,(options: const double *) -> int,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"adx.c:28. Not emitted: the adx.c TU never reached the LLM — SACTOR's relocated expanded TU fails in gcc with `simple1.h`/`dx.h`-style same-directory headers not on its include path (one of the 37 pre-LLM failures, RUN.md; same in run 2). Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_adx,adx.c,33,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"adx.c:33. Not emitted: the adx.c TU never reached the LLM — SACTOR's relocated expanded TU fails in gcc with `simple1.h`/`dx.h`-style same-directory headers not on its include path (one of the 37 pre-LLM failures, RUN.md; same in run 2). Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_adxr_start,adxr.c,29,(options: const double *) -> int,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"adxr.c:29. Not emitted: the adxr.c TU never reached the LLM — SACTOR's relocated expanded TU fails in gcc with `simple1.h`/`dx.h`-style same-directory headers not on its include path (one of the 37 pre-LLM failures, RUN.md; same in run 2). Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_adxr,adxr.c,34,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"adxr.c:34. Not emitted: the adxr.c TU never reached the LLM — SACTOR's relocated expanded TU fails in gcc with `simple1.h`/`dx.h`-style same-directory headers not on its include path (one of the 37 pre-LLM failures, RUN.md; same in run 2). Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
ti_ao_start,ao.c,27,(options: const double *) -> int,,,NO_MAP,,,ti_ao_start,,,,NONE,single-source,ti_ao_start,"C ao.c:27 `(void)options; return 33` -> Rust assembled_unidiomatic.rs:19 `33`: genuine translation, same computation (not a STUB: the C body itself ignores options and returns this constant, so the constant IS the C behaviour). Tool verdict: unverified, TU aborted at harness link failure (run1_extracted_rust/index.json). Name-eq says ti_ao_start: correct. Forced matcher: no proposal (miss); deploy NONE."
ti_ao,ao.c,33,"(size: int, inputs: const double *const *, options: const double *, outputs: double *const *) -> int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"ao.c:33. Not emitted: the ao.c TU translated only its first function ti_ao_start (assembled_unidiomatic.rs:19) and then aborted at ""Failed to link project-level harness for function ti_ao_start"" (RUN.md); ti_ao never reached the LLM. Absent from rust_inventory.csv. Matcher deploy NONE, no forced proposal: consistent."
