c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
strclone,lil.c,123,(s: const char *) -> char *,strclone,strclone,CLAIMED,yes,No_Fix_Compile_Success,strclone,strclone,0.267,-0.082,ABSTAIN,unanimous,strclone,"lil.c:123 (malloc+memcpy copy of s) -> src/common/lil_mod.rs:1839: Some(src.to_owned()), None passthrough for the C NULL case. Forced proposal correct."
alloc_value,lil.c,132,(str: const char *) -> lil_value_t,alloc_value,alloc_value,CLAIMED,yes,No_Fix_Compile_Success,alloc_value,alloc_value,0.271,-0.072,ABSTAIN,unanimous,alloc_value,"lil.c:132 -> src/common/lil_mod.rs:475: Box<_lil_value_t> with l=strlen/d=copy when str given, else l=0,d=None (C lines 136-147). Forced proposal correct."
lil_clone_value,lil.c,151,(src: lil_value_t) -> lil_value_t,lil_clone_value,lil_clone_value,CLAIMED,yes,No_Fix_Compile_Success,lil_clone_value,lil_clone_value,0.341,-0.004,ABSTAIN,unanimous,lil_clone_value,"lil.c:151 -> src/common/lil_mod.rs:2909: NULL->None guard, l copied, d cloned only when src->l != 0 else None (C 157-165). Forced proposal correct."
lil_append_char,lil.c,169,"(val: lil_value_t, ch: char) -> int",lil_append_char,lil_append_char,CLAIMED,yes,No_Fix_Compile_Success,lil_append_char,lil_append_char,0.312,-0.05,ABSTAIN,unanimous,lil_append_char,lil.c:169 -> src/common/lil_mod.rs:420: pushes ch onto d (realloc(NULL) case -> new String) and resyncs l (C 171-176). Forced proposal correct.
lil_append_string,lil.c,179,"(val: lil_value_t, s: const char *) -> int",lil_append_string,lil_append_string,CLAIMED,yes,No_Fix_Compile_Success,lil_append_string,lil_append_string,0.271,-0.221,ABSTAIN,unanimous,lil_append_string,"lil.c:179 -> src/common/lil_mod.rs:69: same early-return 1 on NULL/empty s (C 183), then push_str and l update. Forced proposal correct."
lil_append_val,lil.c,193,"(val: lil_value_t, v: lil_value_t) -> int",lil_append_val,lil_append_val,CLAIMED,yes,No_Fix_Compile_Success,lil_append_val,lil_append_val,0.373,0.011,lil_append_val,unanimous,lil_append_val,"lil.c:193 -> src/common/lil_mod.rs:124: return 1 if v NULL or v->l==0 (C 196), then byte-level concat modelled on the realloc+memcpy (C 197-201), val.l += v.l. Forced proposal correct."
lil_free_value,lil.c,205,(val: lil_value_t) -> void,,,NO_RECORD,,,lil_free_value,,,,NONE,single-source,STUB:lil_free_value,"lil.c:205 (free val->d and val) -> src/common/lil_mod.rs:3055: body is the single comment '// default body' -- an empty no-op with the corresponding (owning Option<Box<_lil_value_t>>) parameter. Part of the 11-function mutually recursive unit (lil_parse_value#lil.c unit, metadata Verfi_Tag Fixed_5_Compile_Failed) that PtrTrans reverted to signature-only placeholders after 5 repair attempts (RUN.md 'stub reverts'); the tool map records it only under lil_parse_value, hence NO_RECORD on this row. Forced proposal is (none) -- WRONG: the Rust fn lil_free_value exists at src/common/lil_mod.rs:3055; the forced run assigned it to lil_to_double instead."
lil_alloc_list,lil.c,212,() -> lil_list_t,lil_alloc_list,lil_alloc_list,CLAIMED,yes,No_Fix_Compile_Success,lil_alloc_list,lil_alloc_list,0.383,0.023,lil_alloc_list,unanimous,lil_alloc_list,"lil.c:212 -> src/common/lil_mod.rs:353: allocates _lil_list_t with v=None,c=0. Forced proposal correct."
lil_free_list,lil.c,220,(list: lil_list_t) -> void,,,NO_RECORD,,,lil_free_list,lil_list_size,0.128,-0.337,ABSTAIN,CONFLICT,STUB:lil_free_list,"lil.c:220 (free each element then v and list) -> src/common/lil_mod.rs:3060: body is '// default body', empty no-op. Part of the 11-function mutually recursive unit (lil_parse_value#lil.c unit, metadata Verfi_Tag Fixed_5_Compile_Failed) that PtrTrans reverted to signature-only placeholders after 5 repair attempts (RUN.md 'stub reverts'); the tool map records it only under lil_parse_value, hence NO_RECORD on this row. Forced proposal lil_list_size is WRONG: lil_list_size (src/common/lil_mod.rs:360) is the live getter returning l.c; C lil_free_list deallocates and returns void."
lil_list_append,lil.c,229,"(list: lil_list_t, val: lil_value_t) -> void",lil_list_append,lil_list_append,CLAIMED,yes,No_Fix_Compile_Success,lil_list_append,lil_list_append,0.368,0.014,lil_list_append,unanimous,lil_list_append,"lil.c:229 -> src/common/lil_mod.rs:2935: lazily creates the Vec (realloc from NULL, C 231), push(val), c += 1 (C 234). Forced proposal correct."
lil_list_size,lil.c,237,(list: lil_list_t) -> size_t,lil_list_size,lil_list_size,CLAIMED,yes,No_Fix_Compile_Success,lil_list_size,lil_set_var,0.325,-0.093,ABSTAIN,CONFLICT,lil_list_size,"lil.c:237 (return list->c) -> src/common/lil_mod.rs:360: returns l.c (0 for None). Forced proposal lil_set_var is WRONG: lil_set_var (src/common/lil_mod.rs:3081) is a 4-parameter stub-reverted placeholder returning None (SCC revert), nothing in common with a size getter."
lil_list_get,lil.c,242,"(list: lil_list_t, index: size_t) -> lil_value_t",lil_list_get,lil_list_get,CLAIMED,yes,No_Fix_Compile_Success,lil_list_get,lil_list_get,0.201,-0.121,ABSTAIN,unanimous,STUB:lil_list_get,lil.c:242 (index >= list->c ? NULL : list->v[index]) -> src/common/lil_mod.rs:366: after the index>=c guard (C 244 first half) the body returns None unconditionally with the comment (376-384) that it cannot mint &mut from the immutable list; the element access list->v[index] is never attempted and the result is constant None. Judgment call: labelled STUB (constant placeholder) rather than defective counterpart; reviewer may flip to lil_list_get. Forced proposal names the same function (correct by name).
needs_escape,lil.c,247,(str: const char *) -> int,needs_escape,needs_escape,CLAIMED,yes,No_Fix_Compile_Success,needs_escape,needs_escape,0.296,0.065,needs_escape,unanimous,needs_escape,"lil.c:247 -> src/common/lil_mod.rs:1848: NULL/empty -> 1 (C 250), any punctuation or whitespace byte -> 1, else 0 (C 251-253). Forced proposal correct."
lil_list_to_value,lil.c,256,"(list: lil_list_t, do_escape: int) -> lil_value_t",lil_list_to_value,lil_list_to_value,CLAIMED,yes,No_Fix_Compile_Success,lil_list_to_value,lil_list_to_value,0.352,0.031,lil_list_to_value,unanimous,lil_list_to_value,"lil.c:256 -> src/common/lil_mod.rs:2354: alloc_value(None), per element escape=needs_escape(lil_to_string) when do_escape, ' ' separator, braces around escaped items, lil_append_val (C 258-267 line by line). Forced proposal correct."
lil_alloc_env,lil.c,270,(parent: lil_env_t) -> lil_env_t,lil_alloc_env,lil_alloc_env,CLAIMED,yes,No_Fix_Compile_Success,lil_alloc_env,lil_alloc_env,0.392,0.025,lil_alloc_env,unanimous,lil_alloc_env,"lil.c:270 -> src/common/lil_mod.rs:450: calloc-style zeroed _lil_env_t in a Box. Translation defect: PA typed the parent parameter as Option<Box<_lil_t>> and the body sets parent: None instead of the C env->parent = parent (C 273, comment at Rust 454-465) -- structural counterpart nonetheless. Forced proposal correct."
lil_free_env,lil.c,277,(env: lil_env_t) -> void,,,NO_RECORD,,,lil_free_env,,,,NONE,single-source,STUB:lil_free_env,"lil.c:277 (free retval, each var name/value, var array, env) -> src/common/lil_mod.rs:3071: body is '// default body', empty no-op. Part of the 11-function mutually recursive unit (lil_parse_value#lil.c unit, metadata Verfi_Tag Fixed_5_Compile_Failed) that PtrTrans reverted to signature-only placeholders after 5 repair attempts (RUN.md 'stub reverts'); the tool map records it only under lil_parse_value, hence NO_RECORD on this row. Forced proposal is (none) -- WRONG: Rust lil_free_env exists at src/common/lil_mod.rs:3071; the forced run assigned it to register_stdcmds instead."
lil_find_local_var,lil.c,291,"(lil: lil_t, env: lil_env_t, name: const char *) -> lil_var_t",lil_find_local_var,lil_find_local_var,CLAIMED,yes,No_Fix_Compile_Success,lil_find_local_var,lil_find_local_var,0.336,0.055,lil_find_local_var,unanimous,lil_find_local_var,"lil.c:291 -> src/common/lil_mod.rs:1618: env->vars>0 guard (C 293) and strcmp of var->n against name (C 296) are ported, but degenerate to the single `var` field because the struct lost the array, and the hit path returns None (Rust 1647-1654, cannot mint &mut from &). Search logic present so labelled as the counterpart, not STUB; observable result is always None -- reviewer may prefer STUB. Forced proposal correct."
lil_find_var,lil.c,304,"(lil: lil_t, env: lil_env_t, name: const char *) -> lil_var_t",lil_find_var,lil_find_var,CLAIMED,yes,Fixed_1_Compile_Success,lil_find_var,lil_find_var,0.336,-0.003,ABSTAIN,unanimous,lil_find_var,"lil.c:304 -> src/common/lil_mod.rs:1904: lil_find_local_var first, then env==lil->rootenv ? NULL : recurse with rootenv (C 307) via std::ptr::eq (Rust 1920-1926). Forced proposal correct."
find_cmd,lil.c,310,"(lil: lil_t, name: const char *) -> lil_func_t",find_cmd,find_cmd,CLAIMED,yes,No_Fix_Compile_Success,find_cmd,find_cmd,0.358,0.077,find_cmd,unanimous,find_cmd,"lil.c:310 -> src/common/lil_mod.rs:1869: lil->cmds>0 guard (C 312) and name strcmp (C 315) ported, degenerate to the single `cmd` field, and the hit path returns None (Rust 1890-1897). Same pattern as lil_find_local_var: search logic present, result constant None; labelled counterpart, reviewer may downgrade to STUB. Forced proposal correct."
add_func,lil.c,323,"(lil: lil_t, name: const char *) -> lil_func_t",add_func,add_func,CLAIMED,yes,No_Fix_Compile_Success,add_func,,,,NONE,single-source,add_func,"lil.c:323 -> src/common/lil_mod.rs:2403: find_cmd lookup (C 327), new _lil_func_t with name=strclone(name) (C 329-330), stored into lil.cmd and cmds += 1 (C 336-337), returned as owner. Forced proposal is (none) -- WRONG: Rust add_func exists at src/common/lil_mod.rs:2403; the forced run gave it to fnc_rename instead."
lil_register,lil.c,341,"(lil: lil_t, name: const char *, proc: lil_func_proc_t) -> int",,,NO_RECORD,,,,,,,NONE,CONFLICT,NONE,"lil.c:341 (add_func then cmd->proc = proc, return 1/0). Never-attempted unit: PtrTrans crashed at unit 95/131 (fnc_write) with the 807k-token prompt rejection (RUN.md 'Completion state'), so no Rust definition of this name (or any other counterpart) exists; rust_inventory.csv has no same-name entry and no other Rust fn implements this behaviour. Forced proposal (none) correct."
lil_set_var,lil.c,349,"(lil: lil_t, name: const char *, val: lil_value_t, local: int) -> lil_var_t",,,NO_RECORD,,,lil_set_var,,,,NONE,single-source,STUB:lil_set_var,"lil.c:349 (find/replace or append a variable in env/rootenv with the SETVAR callback) -> src/common/lil_mod.rs:3081: body is '// default return' + None. Part of the 11-function mutually recursive unit (lil_parse_value#lil.c unit, metadata Verfi_Tag Fixed_5_Compile_Failed) that PtrTrans reverted to signature-only placeholders after 5 repair attempts (RUN.md 'stub reverts'); the tool map records it only under lil_parse_value, hence NO_RECORD on this row. Forced proposal is (none) -- WRONG: Rust lil_set_var exists at src/common/lil_mod.rs:3081; the forced run assigned it to lil_list_size instead."
lil_get_var,lil.c,389,"(lil: lil_t, name: const char *) -> lil_value_t",lil_get_var,lil_get_var,CLAIMED,yes,No_Fix_Compile_Success,lil_get_var,lil_get_var,0.416,0.062,lil_get_var,unanimous,lil_get_var,"lil.c:389 (lil_get_var_or(lil, name, lil->empty)) -> src/common/lil_mod.rs:2873: same one-liner with lil.empty as defvalue. Forced proposal correct."
lil_get_var_or,lil.c,394,"(lil: lil_t, name: const char *, defvalue: lil_value_t) -> lil_value_t",lil_get_var_or,lil_get_var_or,CLAIMED,yes,Fixed_4_Compile_Success,lil_get_var_or,lil_get_var_or,0.299,-0.025,ABSTAIN,unanimous,lil_get_var_or,"lil.c:394 -> src/common/lil_mod.rs:2444: lil_find_var(lil, lil->env, name), retval = var ? var->v : defvalue (C 396-397), callback[7] && (!var || var->env == rootenv) condition (C 398) ported at Rust 2461-2474; the getvar callback invocation itself (C 399-402) is elided (no-op). Forced proposal correct."
lil_push_env,lil.c,407,(lil: lil_t) -> lil_env_t,lil_push_env,lil_push_env,CLAIMED,yes,No_Fix_Compile_Success,lil_push_env,lil_push_env,0.337,-0.022,ABSTAIN,unanimous,lil_push_env,"lil.c:407 -> src/common/lil_mod.rs:1709: lil_alloc_env then lil->env = env and return env (C 409-411). Defect: passes None as parent (comment 1715-1734) and returns lil.env.take(), so lil.env ends up None. Forced proposal correct."
lil_pop_env,lil.c,414,(lil: lil_t) -> void,,,NO_RECORD,,,lil_pop_env,lil_get_data,0.218,-0.342,ABSTAIN,CONFLICT,STUB:lil_pop_env,"lil.c:414 (if env->parent: free env, lil->env = parent) -> src/common/lil_mod.rs:3076: body is '// default body', empty no-op. Part of the 11-function mutually recursive unit (lil_parse_value#lil.c unit, metadata Verfi_Tag Fixed_5_Compile_Failed) that PtrTrans reverted to signature-only placeholders after 5 repair attempts (RUN.md 'stub reverts'); the tool map records it only under lil_parse_value, hence NO_RECORD on this row. Forced proposal lil_get_data is WRONG: lil_get_data (src/common/lil_mod.rs:1613) is the live one-line getter returning lil.data; C lil_pop_env frees the current env and rewires lil->env."
lil_new,lil.c,423,() -> lil_t,,,NO_RECORD,,,,lil_alloc_string,0.343,-0.012,ABSTAIN,single-source,NONE,"lil.c:423 (calloc the interpreter, rootenv = env = lil_alloc_env(NULL), empty = alloc_value(NULL), dollarprefix = ""set "", register_stdcmds). Never-attempted unit: PtrTrans crashed at unit 95/131 (fnc_write) with the 807k-token prompt rejection (RUN.md 'Completion state'), so no Rust definition of this name (or any other counterpart) exists; rust_inventory.csv has no same-name entry and no other Rust fn implements this behaviour. Also verified by grep: no Rust code constructs a _lil_t value anywhere in the crate. Forced proposal lil_alloc_string is WRONG: lil_alloc_string (src/common/lil_mod.rs:1745) is the one-line alloc_value wrapper producing a _lil_value_t; C lil_new builds the interpreter object and registers all std commands."
islilspecial,lil.c,433,(ch: char) -> int,islilspecial,islilspecial,CLAIMED,yes,No_Fix_Compile_Success,islilspecial,islilspecial,0.17,-0.093,ABSTAIN,unanimous,islilspecial,"lil.c:433 -> src/common/lil_mod.rs:497: identical 8-character set ; $ [ ] { } "" '. Forced proposal correct."
ateol,lil.c,438,(lil: lil_t) -> int,ateol,ateol,CLAIMED,yes,No_Fix_Compile_Success,ateol,ateol,0.365,0.071,ateol,unanimous,ateol,"lil.c:438 -> src/common/lil_mod.rs:1661: !ignoreeol && code[head] in {\n, \r, ;} (Rust adds None/out-of-range -> 0). Forced proposal correct."
skip_spaces,lil.c,443,(lil: lil_t) -> void,skip_spaces,skip_spaces,CLAIMED,yes,No_Fix_Compile_Success,skip_spaces,skip_spaces,0.316,-0.018,ABSTAIN,unanimous,skip_spaces,"lil.c:443 -> src/common/lil_mod.rs:1941: loop while head<clen and (\\ or # or (isspace && (ignoreeol || !eol))) (C 445), '#' skips to ateol (C 447), backslash-newline skips eol run (C 448-450), else head++ (C 451). Forced proposal correct."
get_bracketpart,lil.c,455,(lil: lil_t) -> lil_value_t,,,NO_RECORD,,,get_bracketpart,,,,NONE,single-source,STUB:get_bracketpart,"lil.c:455 (collect nested [..] text into cmd, lil_parse_value it) -> src/common/lil_mod.rs:3102: body is '// default return' + None. Part of the 11-function mutually recursive unit (lil_parse_value#lil.c unit, metadata Verfi_Tag Fixed_5_Compile_Failed) that PtrTrans reverted to signature-only placeholders after 5 repair attempts (RUN.md 'stub reverts'); the tool map records it only under lil_parse_value, hence NO_RECORD on this row. Forced proposal is (none) -- WRONG: Rust get_bracketpart exists at src/common/lil_mod.rs:3102; the forced run assigned it to lil_get_data instead."
get_dollarpart,lil.c,478,(lil: lil_t) -> lil_value_t,,,NO_RECORD,,,get_dollarpart,lil_pop_env,0.219,-0.337,ABSTAIN,CONFLICT,STUB:get_dollarpart,"lil.c:478 (head++, name = next_word, tmp = dollarprefix + name, lil_parse_value(tmp)) -> src/common/lil_mod.rs:3096: body is '// default return' + None. Part of the 11-function mutually recursive unit (lil_parse_value#lil.c unit, metadata Verfi_Tag Fixed_5_Compile_Failed) that PtrTrans reverted to signature-only placeholders after 5 repair attempts (RUN.md 'stub reverts'); the tool map records it only under lil_parse_value, hence NO_RECORD on this row. Forced proposal lil_pop_env is WRONG: lil_pop_env (src/common/lil_mod.rs:3076) is another empty stub of the same unit returning (); C get_dollarpart returns a value. Both bodies are placeholders so nothing but the name/return type distinguishes them."
