c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
main,test.c,6,() -> int,main;box_i8_eq_str;box_cchar_eq_str,main,CLAIMED,yes,Fixed_1_Compile_Success,main,main,0.321,-0.017,ABSTAIN,unanimous,main,"test.c:6 -> src/test.rs:6: same sequence url_parse x2, url_data_inspect x2, 11+7 field asserts, 7 url_is_protocol asserts (http/https/git/ssh/sftp/ftp/javascript), then the 16 strcmp getter asserts in the same order with the same expected literals (""user:pass"", ""subdomain.host.com:8080"", ""/p/a/t/h?query=string#hash"", ""8080"", ""jwerle/url.h.git""...). Rust degrades the inputs: url literals truncated to ""git:""/""http:"" (test.rs:18-19) and url_parse is called with None (test.rs:27-28), so it panics at the first assert; still the sole translation of main. Nested helpers box_i8_eq_str (test.rs:83) and box_cchar_eq_str (test.rs:138) are translator-invented strcmp replacements listed in the tool claim; they correspond to no C function."
get_part,,,"(url: char *, format: const char *, l: int) -> char *",get_part,get_part,CLAIMED,yes,Fixed_1_Compile_Success,get_part,get_part,0.514,0.164,get_part,unanimous,get_part,"url.h:189 -> src/common/url_mod.rs:318: same skeleton tmp/tmp_url=strdup(url)/fmt_url=strdup(url)/ret, null check, strcpy(fmt_url,"""") emulated as [0], fmt_url=strff(fmt_url,l) (line 338), has = tmp != tmp_url then ret=strdup(tmp) (354-358), fmt_url=strrwd(fmt_url,l) (365), return has?ret:NULL. Behavioural gap: the sscanf(fmt_url, format, tmp) at url.h:208 is dropped entirely (comment at 339-344), so the format argument is never used and the function returns [0] for any non-empty url."
strdup,,,(str: const char *) -> char *,strdup,strdup,CLAIMED,yes,Fixed_1_Compile_Success,strdup,strdup,0.478,0.076,strdup,unanimous,strdup,"url.h:159 -> src/common/url_mod.rs:5: strlen loop stopping at 0 (lines 16-26), Vec::with_capacity(len+1) and copy including the NUL (28-35), None on null input. (The Rust indexes std::slice::from_ref(s)[len], which panics for len>=1 — a runtime bug, not a correspondence issue.)"
strff,,,"(ptr: char *, n: int) -> char *",strff,strff,CLAIMED,yes,No_Fix_Compile_Success,strff,strff,0.428,-0.0,ABSTAIN,unanimous,strff,"url.h:169 -> src/common/url_mod.rs:258: for i in 0..n { y = *ptr++ } then return strdup(ptr) (line 273). Rust models ptr++ by setting ptr=None after the first iteration (267), so for n>0 it returns None instead of the suffix; structure (n-iteration loop + strdup of the advanced pointer) is the C body."
strrwd,,,"(ptr: char *, n: int) -> char *",strrwd,strrwd,CLAIMED,yes,No_Fix_Compile_Success,strrwd,strrwd,0.426,-0.002,ABSTAIN,unanimous,strrwd,url.h:179 -> src/common/url_mod.rs:275: for i in 0..n { y = *ptr-- } then strdup(ptr) (line 297). Rust reads *p into y (286) and leaves ptr unchanged (cannot decrement a reference) — same loop + strdup structure as C; distinguishable from strff by the read-of-*p vs pointer-to-int cast and the 'decrement' comment.
url_data_inspect,,,(data: url_data_t *) -> void,url_data_inspect,url_data_inspect,CLAIMED,yes,No_Fix_Compile_Success,url_data_inspect,url_data_inspect,0.406,0.01,ABSTAIN,unanimous,url_data_inspect,"url.h:534 -> src/common/url_mod.rs:718: prints ""#url =>"" then the 11 fields in the identical C order .href .protocol .host .auth .hostname .pathname .search .path .hash .query .port with the same ""    .x: \""%s\"""" format (lines 719-733); adds an all-empty branch for data==None (735-747)."
url_free,,,(data: url_data_t *) -> void,,,ELIDED,,Free_Function,,,,,NONE,tool-says-elided,NONE,"url.h:550 frees the 9 owned url_data_t fields; PtrTrans metadata marks it Free_Function (trans_rust_code = ""Free_Function"", no rust_definition_name). grep of the crate finds no url_free and no `impl Drop`; UrlData (url_mod.rs:216) holds Option<String> fields dropped implicitly, and Rust main (test.rs) has no call in place of the C url_free(parsed) at test.c:67. No Rust counterpart."
url_get_auth,,,(url: char *) -> char *,url_get_auth,url_get_auth,CLAIMED,yes,Fixed_5_Compile_Failed,url_get_auth,url_get_auth,0.31,-0.115,ABSTAIN,unanimous,STUB:url_get_auth,"url.h:362 (url_get_protocol, l = strlen(protocol)+3, get_part(url, ""%[^@]"", l)) -> src/common/url_mod.rs:715-717 is `pub fn url_get_auth(url: Option<&i8>) -> Option<Box<[i8]>> { None }`: signature-only placeholder, no call to url_get_protocol or get_part, no ""%[^@]"" format. Metadata Verfi_Tag = Fixed_5_Compile_Failed; the attempted body (try_trans_error) died on a missing CString import (error_log E0433 at url_mod.rs:739) and PtrTrans reverted to the constant None. Not a translation, hence STUB."
url_get_hash,,,(url: char *) -> char *,url_get_hash,url_get_hash,CLAIMED,yes,No_Fix_Compile_Success,url_get_hash,url_get_hash,0.398,-0.021,ABSTAIN,unanimous,url_get_hash,"url.h:486 -> src/common/url_mod.rs:1057: hash=[0] (1060), path=url_get_path(url)? (1063), pathname=url_get_pathname(url)? (1067), search=url_get_search(url)? (1069), pathname_len/search_len via strlen (1072-1079), tmp_path=strff(path, pathname_len+search_len) (1081), strrwd back (1096), return hash — identical call chain to C lines 490-509. The sscanf(tmp_path, ""%s"", hash) at url.h:502 is omitted (comment 1088-1092), so the returned hash is always the empty string."
url_get_host,,,(url: char *) -> char *,url_get_host,url_get_host,CLAIMED,yes,No_Fix_Compile_Success,url_get_host,url_get_host,0.418,0.019,url_get_host,unanimous,url_get_host,"url.h:392 -> src/common/url_mod.rs:816: hostname = url_get_hostname(url)? (818) then copy bytes up to the first ':' or NUL (821-827) = the C sscanf(hostname, ""%[^:]"", host) at url.h:398. Only Rust function that both calls url_get_hostname and cuts at ':'."
